,date,post_count_anger,post_count_disgust,post_count_fear,post_count_joy,post_count_neutral,post_count_sadness,post_count_surprise,score_anger,score_disgust,score_fear,score_joy,score_neutral,score_sadness,score_surprise,close
166,2022-08-31,77.0,4.0,105.0,347.0,333.0,204.0,334.0,4518.0,3.0,2976.0,6843.0,2832.0,2892.0,6184.0,126.7699966
167,2022-09-01,58.0,0.0,93.0,351.0,410.0,195.0,331.0,1928.0,0.0,2614.0,8240.0,4046.0,928.0,7342.0,127.8199997
168,2022-09-02,56.0,4.0,89.0,313.0,421.0,219.0,315.0,1413.0,62.0,1542.0,3325.0,3508.0,5187.0,7994.0,127.5100021
169,2022-09-06,70.0,2.0,93.0,319.0,495.0,224.0,342.0,8145.0,9.0,1146.0,4225.0,3513.0,5000.0,4188.0,126.1100006
170,2022-09-07,58.0,1.0,96.0,301.0,659.0,246.0,271.0,2220.0,0.0,3113.0,11690.0,2548.0,1685.0,1883.0,129.4799957
171,2022-09-08,59.0,3.0,69.0,253.0,672.0,186.0,303.0,938.0,24.0,4041.0,8173.0,5598.0,1199.0,3150.0,129.8200073
172,2022-09-09,54.0,1.0,93.0,309.0,682.0,172.0,276.0,1282.0,2.0,1222.0,4017.0,2694.0,1466.0,3786.0,133.2700043
173,2022-09-12,46.0,0.0,82.0,268.0,735.0,231.0,301.0,2613.0,0.0,1902.0,2914.0,2881.0,2610.0,6847.0,136.4499969
174,2022-09-13,56.0,4.0,89.0,289.0,656.0,196.0,284.0,1329.0,18.0,2902.0,4066.0,3420.0,9568.0,5629.0,126.8199997
175,2022-09-14,61.0,2.0,92.0,268.0,702.0,192.0,288.0,28728.0,3.0,1145.0,4309.0,2292.0,2396.0,3233.0,128.5500031
176,2022-09-15,47.0,0.0,97.0,265.0,717.0,198.0,304.0,1466.0,0.0,775.0,17505.0,2124.0,2078.0,2311.0,126.2799988
177,2022-09-16,65.0,3.0,95.0,270.0,622.0,223.0,263.0,1675.0,3.0,2940.0,4793.0,1723.0,2184.0,1828.0,123.5299988
